,V1,V2,V3
231,1399/08/23,308,26
232,1399/08/24,1006,21
233,1399/08/25,1063,33
234,1399/08/26,308,26
235,1399/08/27,1275,32
236,1399/08/28,1207,34
237,1399/08/29,805,29
238,1399/08/30,1179,28
239,1399/09/01,1459,28
240,1399/09/02,553,35
241,1399/09/03,879,36
242,1399/09/04,1543,23
243,1399/09/05,804,22
244,1399/09/06,1174,24
245,1399/09/07,981,22
246,1399/09/08,418,26
247,1399/09/09,473,31
248,1399/09/10,675,23
249,1399/09/11,584,18
250,1399/09/12,616,22
251,1399/09/13,1045,24
252,1399/09/14,489,33
253,1399/09/15,305,31
254,1399/09/16,731,15
255,1399/09/17,451,21
256,1399/09/18,1174,27
257,1399/09/19,347,23
258,1399/09/20,387,19
259,1399/09/21,383,23
260,1399/09/22,197,15
261,1399/09/23,208,14
262,1399/09/24,305,24
263,1399/09/25,316,13
264,1399/09/26,426,13
265,1399/09/27,312,10
266,1399/09/28,222,6
267,1399/09/29,115,10
268,1399/09/30,163,14
269,1399/10/01,218,11
270,1399/10/02,190,14
271,1399/10/03,172,16
272,1399/10/04,202,11
273,1399/10/05,194,10
274,1399/10/06,90,6
275,1399/10/07,135,5
276,1399/10/08,136,12
277,1399/10/09,145,5
278,1399/10/10,218,6
279,1399/10/11,152,9
280,1399/10/12,159,6
281,1399/10/13,74,4
282,1399/10/14,147,2
283,1399/10/15,181,6
284,1399/10/16,163,7
285,1399/10/17,197,6
286,1399/10/18,169,3
287,1399/10/19,140,2
288,1399/10/20,117,3
289,1399/10/21,93,4
290,1399/10/22,221,3
291,1399/10/23,182,4
292,1399/10/24,138,4
293,1399/10/25,174,2
294,1399/10/26,199,4
295,1399/10/27,88,5
296,1399/10/28,153,2
297,1399/10/29,87,4
298,1399/10/30,151,3
299,1399/11/01,133,3
300,1399/11/02,213,2
301,1399/11/03,156,3
302,1399/11/04,98,2
303,1399/11/05,125,2
304,1399/11/06,200,5
305,1399/11/07,213,6
306,1399/11/08,170,5
307,1399/11/09,217,2
308,1399/11/10,284,1
309,1399/11/11,159,3
310,1399/11/12,169,3
311,1399/11/13,264,2
312,1399/11/14,246,1
313,1399/11/15,247,0
314,1399/11/16,265,5
315,1399/11/17,305,1
316,1399/11/18,130,3
317,1399/11/19,202,6
318,1399/11/20,222,2
319,1399/11/21,321,2
320,1399/11/22,316,1
321,1399/11/23,196,1
322,1399/11/24,218,1
323,1399/11/25,173,4
324,1399/11/26,202,1
325,1399/11/27,246,4
326,1399/11/28,344,4
327,1399/11/29,212,0
328,1399/11/30,308,4
329,1399/12/01,349,3
330,1399/12/02,108,3
331,1399/12/03,309,2
332,1399/12/04,272,0
333,1399/12/05,268,2
334,1399/12/06,238,3
335,1399/12/07,309,3
336,1399/12/08,157,1
337,1399/12/09,175,4
338,1399/12/10,155,1
339,1399/12/11,287,1
340,1399/12/12,317,1
341,1399/12/13,255,1
342,1399/12/14,262,4
